case_id,case_kind,io_threads,connections,payload_size_bytes,run_count,success,failures,qps_mean,qps_best,latency_avg_ms_mean,latency_p50_ms_mean,latency_p90_ms_mean,latency_p99_ms_mean,latency_p999_ms_mean,latency_max_ms_best,tx_kib_per_s_mean,rx_kib_per_s_mean,elapsed_seconds_mean
payload__io8__conn200__payload16,payload,8,200,16,3,280042,0,46620.248453,47084.755145,4.274347,4.101778333333333,5.793730666666666,8.022699666666666,11.143236666666667,49.207524,3004.820701,2276.3793189999997,6.006876666666667
payload__io8__conn200__payload256,payload,8,200,256,3,266787,0,44404.893756666665,45866.390931,4.487640666666667,4.243447,6.238295333333333,9.325077333333333,14.191707,55.104013,13269.431142,12575.604677333335,6.008084666666666
payload__io8__conn200__payload4096,payload,8,200,4096,3,263871,0,43932.82927333333,44009.411423,4.535438666666667,4.355227333333333,6.150558666666666,8.454534666666667,11.844323666666668,69.571923,177876.47477366668,177190.02431600002,6.006238
payload__io8__conn200__payload16384,payload,8,200,16384,3,235859,0,39261.99721633334,40325.704407,5.075872666666666,4.900377333333334,6.6846353333333335,8.918890666666668,12.212262,57.98628,630109.045174,629495.5764676667,6.007298666666667
thread_scale__io1__conn200__payload16,thread_scale,1,200,16,3,81243,0,13505.805359666667,13544.741327,14.764072333333333,15.073100333333334,15.907653999999999,17.978283,46.37288433333333,83.147455,870.491361,659.4631526666667,6.015438333333333
thread_scale__io2__conn200__payload16,thread_scale,2,200,16,3,157288,0,26172.097679,26709.393949,7.62178,7.821523666666667,9.561129,10.723438666666667,13.363101,66.063949,1686.8734833333335,1277.934457,6.0097613333333335
thread_scale__io4__conn200__payload16,thread_scale,4,200,16,3,241489,0,40202.76624866667,40628.641185,4.959933333333333,4.8250633333333335,5.6899690000000005,7.986129000000001,11.389957,57.42363,2591.1939183333334,1963.0256956666665,6.006772333333333
thread_scale__io8__conn200__payload16,thread_scale,8,200,16,3,273617,0,45556.100904666666,48515.555691,4.382037666666666,4.186937666666666,6.034332333333334,8.500917,12.635593333333333,64.755933,2936.2330660000002,2224.4189896666667,6.006183666666666
thread_scale__io16__conn200__payload16,thread_scale,16,200,16,3,278046,0,46283.88231866667,48031.408759,4.308852,3.9785920000000004,7.025941666666667,10.370378333333333,15.527376666666667,73.457193,2983.140852666667,2259.9551916666665,6.007431333333333
throughput__io8__conn50__payload16,throughput,8,50,16,3,299913,0,49971.95229766667,50606.925914,0.9966916666666666,0.9105626666666667,1.6560733333333335,2.434018,3.480090333333333,6.490518,3220.848488,2440.036733333333,6.001634
throughput__io8__conn100__payload16,throughput,8,100,16,3,297465,0,49550.15642233333,50299.723288,2.011877,1.8744263333333333,3.080304,4.343940666666667,5.577023,18.854034,3193.662425666667,2419.4412313333337,6.003312333333334
throughput__io8__conn200__payload16,throughput,8,200,16,3,290405,0,48352.41462833333,48736.407255,4.122034333333333,3.9703873333333335,5.560662000000001,7.569599333333334,10.243472666666667,72.285394,3116.464224,2360.957745333333,6.006025666666667
throughput__io8__conn400__payload16,throughput,8,400,16,3,273247,0,45450.78667899999,46305.700429,8.754968333333332,8.539687666666667,11.121157333333334,14.735438,41.22621133333333,103.856219,2929.4452350000006,2219.2766933333332,6.011943333333334
