case_id,case_kind,repeat,io_threads,connections,payload_size_bytes,qps,latency_avg_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tx_kib_per_s,rx_kib_per_s,mrpc_connections_active,mrpc_requests_inflight,mrpc_completed_requests_average_qps,mrpc_latency_queue_average_ms,mrpc_latency_queue_max_ms,mrpc_latency_handler_average_ms,mrpc_latency_handler_max_ms,mrpc_latency_io_return_average_ms,mrpc_latency_io_return_max_ms,mrpc_latency_end_to_end_average_ms,mrpc_latency_end_to_end_max_ms,mrpc_worker_rejections_total,mrpc_protocol_errors_total
throughput__io8__conn50__payload16,throughput,1,8,50,16,49789.563087,0.999518,0.920484,1.638243,2.355458,3.027835,5.470588,3209.092933,2431.13101,0.0,0.0,48114.0,0.0172163,1.318,0.0013959,0.972,0.289826,5.892,0.314037,6.027,0.0,0.0
throughput__io8__conn50__payload16,throughput,2,8,50,16,51528.120809,0.966274,0.888431,1.588255,2.277881,2.956811,6.670881,3321.148412,2516.021524,0.0,0.0,49172.4,0.0169599,4.109,0.00136747,0.972,0.285829,5.892,0.309651,6.027,0.0,0.0
throughput__io8__conn50__payload16,throughput,3,8,50,16,53020.557412,0.939134,0.866495,1.538309,2.177869,2.744004,7.18104,3417.340614,2588.894405,0.0,0.0,50040.1,0.0166392,4.109,0.00133902,0.972,0.28189,5.892,0.305287,6.027,0.0,0.0
throughput__io8__conn100__payload16,throughput,1,8,100,16,50379.166298,1.978569,1.856367,2.983137,4.08491,5.157384,27.03759,3247.094703,2459.920229,0.0,0.0,48270.6,0.0159319,2.374,0.00140848,1.134,0.510767,6.13,0.533296,6.172,0.0,0.0
throughput__io8__conn100__payload16,throughput,2,8,100,16,49913.056106,1.997207,1.86412,3.023484,4.156727,5.226866,42.098176,3217.052444,2437.160943,0.0,0.0,48600.4,0.01595,2.962,0.00140878,1.134,0.513771,6.13,0.536285,6.172,0.0,0.0
throughput__io8__conn100__payload16,throughput,3,8,100,16,50088.179386,1.989576,1.867534,2.997734,4.081118,4.977785,42.488432,3228.339687,2445.711884,0.0,0.0,48781.0,0.0159804,2.962,0.00140942,1.134,0.512304,6.13,0.534838,6.172,0.0,0.0
throughput__io8__conn200__payload16,throughput,1,8,200,16,50029.026108,3.985049,3.875253,5.277077,6.898664,8.554277,52.591203,3224.527073,2442.82354,0.0,0.0,47856.0,0.0156775,6.456,0.00140841,0.842,0.856017,7.409,0.878175,7.419,0.0,0.0
throughput__io8__conn200__payload16,throughput,2,8,200,16,49528.010665,4.02195,3.912315,5.284835,6.870611,8.515086,52.699809,3192.235062,2418.359896,0.0,0.0,48208.9,0.0157423,6.456,0.00141428,0.842,0.851772,7.409,0.874022,7.419,0.0,0.0
throughput__io8__conn200__payload16,throughput,3,8,200,16,49279.719822,4.044688,3.920605,5.329917,6.992475,8.904968,76.05017,3176.231942,2406.236319,0.0,0.0,48281.6,0.0158259,6.456,0.00141257,0.842,0.851411,7.409,0.873753,7.419,0.0,0.0
throughput__io8__conn400__payload16,throughput,1,8,400,16,48989.709674,8.121565,7.974298,10.101064,12.821157,18.07829,98.451317,3157.539881,2392.075668,0.0,0.0,47032.2,0.0157419,1.617,0.00144103,1.132,1.70695,9.166,1.72928,9.377,0.0,0.0
