case_id,case_kind,stage,repeat,metric_name,method,value
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_requests_total,EchoService.Echo,101157.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_requests_inflight,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_requests_completed_total,EchoService.Echo,101157.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_responses_success_total,EchoService.Echo,101157.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_responses_error_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_responses_timeout_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_responses_overload_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_queue_average_ms,EchoService.Echo,0.0173817
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_queue_max_ms,EchoService.Echo,1.206
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_handler_average_ms,EchoService.Echo,0.00141962
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_handler_max_ms,EchoService.Echo,0.972
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_io_return_average_ms,EchoService.Echo,0.287974
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_io_return_max_ms,EchoService.Echo,5.892
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_end_to_end_average_ms,EchoService.Echo,0.312516
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_latency_end_to_end_max_ms,EchoService.Echo,6.027
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_requests_total,EchoService.Echo,399972.0
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_requests_inflight,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_requests_completed_total,EchoService.Echo,399972.0
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_responses_success_total,EchoService.Echo,399972.0
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_responses_error_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_responses_timeout_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_responses_overload_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_queue_average_ms,EchoService.Echo,0.0172163
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_queue_max_ms,EchoService.Echo,1.318
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_handler_average_ms,EchoService.Echo,0.0013959
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_handler_max_ms,EchoService.Echo,0.972
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_io_return_average_ms,EchoService.Echo,0.289826
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_io_return_max_ms,EchoService.Echo,5.892
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_end_to_end_average_ms,EchoService.Echo,0.314037
throughput__io8__conn50__payload16,throughput,repeat,1,mrpc_method_latency_end_to_end_max_ms,EchoService.Echo,6.027
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_requests_total,EchoService.Echo,709213.0
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_requests_inflight,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_requests_completed_total,EchoService.Echo,709213.0
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_responses_success_total,EchoService.Echo,709213.0
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_responses_error_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_responses_timeout_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_responses_overload_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_queue_average_ms,EchoService.Echo,0.0169599
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_queue_max_ms,EchoService.Echo,4.109
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_handler_average_ms,EchoService.Echo,0.00136747
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_handler_max_ms,EchoService.Echo,0.972
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_io_return_average_ms,EchoService.Echo,0.285829
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_io_return_max_ms,EchoService.Echo,5.892
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_end_to_end_average_ms,EchoService.Echo,0.309651
throughput__io8__conn50__payload16,throughput,repeat,2,mrpc_method_latency_end_to_end_max_ms,EchoService.Echo,6.027
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_requests_total,EchoService.Echo,1027423.0
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_requests_inflight,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_requests_completed_total,EchoService.Echo,1027423.0
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_responses_success_total,EchoService.Echo,1027423.0
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_responses_error_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_responses_timeout_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_responses_overload_total,EchoService.Echo,0.0
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_queue_average_ms,EchoService.Echo,0.0166392
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_queue_max_ms,EchoService.Echo,4.109
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_handler_average_ms,EchoService.Echo,0.00133902
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_handler_max_ms,EchoService.Echo,0.972
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_io_return_average_ms,EchoService.Echo,0.28189
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_io_return_max_ms,EchoService.Echo,5.892
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_end_to_end_average_ms,EchoService.Echo,0.305287
throughput__io8__conn50__payload16,throughput,repeat,3,mrpc_method_latency_end_to_end_max_ms,EchoService.Echo,6.027
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_requests_total,EchoService.Echo,27218.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_requests_inflight,EchoService.Echo,17.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_requests_completed_total,EchoService.Echo,27201.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_responses_success_total,EchoService.Echo,27201.0
throughput__io8__conn50__payload16,throughput,warmup,0,mrpc_method_responses_error_total,EchoService.Echo,0.0
