case_id,case_kind,io_threads,connections,payload_size_bytes,run_count,success,failures,qps_mean,qps_best,latency_avg_ms_mean,latency_p50_ms_mean,latency_p90_ms_mean,latency_p99_ms_mean,latency_p999_ms_mean,latency_max_ms_best,tx_kib_per_s_mean,rx_kib_per_s_mean,elapsed_seconds_mean,mrpc_connections_active_mean,mrpc_connections_active_max,mrpc_requests_inflight_mean,mrpc_requests_inflight_max,mrpc_completed_requests_average_qps_mean,mrpc_completed_requests_average_qps_max,mrpc_latency_queue_average_ms_mean,mrpc_latency_queue_average_ms_max,mrpc_latency_queue_max_ms_mean,mrpc_latency_queue_max_ms_max,mrpc_latency_handler_average_ms_mean,mrpc_latency_handler_average_ms_max,mrpc_latency_handler_max_ms_mean,mrpc_latency_handler_max_ms_max,mrpc_latency_io_return_average_ms_mean,mrpc_latency_io_return_average_ms_max,mrpc_latency_io_return_max_ms_mean,mrpc_latency_io_return_max_ms_max,mrpc_latency_end_to_end_average_ms_mean,mrpc_latency_end_to_end_average_ms_max,mrpc_latency_end_to_end_max_ms_mean,mrpc_latency_end_to_end_max_ms_max,mrpc_worker_rejections_total_mean,mrpc_worker_rejections_total_max,mrpc_protocol_errors_total_mean,mrpc_protocol_errors_total_max
payload__io8__conn200__payload16,payload,8,200,16,3,296402,0,49347.380849333334,49513.97506,4.038036,3.9131286666666667,5.346046666666666,7.050610666666667,8.840501000000001,54.258924,3180.5929063333333,2409.5400803333337,6.006451666666667,172.97297297297297,200.0,38.108108108108105,72.0,47952.09459459459,48389.7,0.015786772972972974,0.0158432,4.095054054054054,4.334,0.001435704054054054,0.00146334,0.765,0.765,0.8664573783783783,0.879108,7.745459459459459,8.013,0.8887948378378379,0.901445,7.773513513513512,8.024,0.0,0.0,0.0,0.0
payload__io8__conn200__payload256,payload,8,200,256,3,295974,0,49273.981394,49496.382808,4.044272333333333,3.925212666666667,5.317589666666667,6.946698666666667,8.897508666666667,68.468491,14724.451471333334,13954.545511666665,6.006706666666666,183.33333333333334,200.0,38.05555555555556,68.0,47531.038888888885,48220.2,0.015900630555555555,0.0161192,3.541,3.541,0.001686398888888889,0.00171771,1.328,1.328,0.8510239166666667,0.859605,7.8465,9.029,0.8736602222222223,0.882357,7.989999999999999,9.059,0.0,0.0,0.0,0.0
payload__io8__conn200__payload4096,payload,8,200,4096,3,280082,0,46624.839293,47045.532688,4.273519666666666,4.146841333333334,5.604547666666666,7.378748333333333,9.451293333333334,61.171512,188775.96065433332,188047.44754,6.007146666666666,182.85714285714286,200.0,40.57142857142857,66.0,45318.22571428571,45723.0,0.017080257142857144,0.0172342,3.9716,3.989,0.003388029714285714,0.00357895,0.796,0.796,0.8983633714285714,0.90591,6.212885714285714,6.79,0.9244789142857144,0.931907,6.3704,6.826,0.0,0.0,0.0,0.0
payload__io8__conn200__payload16384,payload,8,200,16384,3,194491,0,32366.391523666665,38830.196474,6.281463333333334,5.795448333333333,9.063598666666666,14.367113333333334,21.720005666666665,73.452375,519442.6545943333,518936.9297266667,6.009178666666667,177.77777777777777,200.0,35.416666666666664,63.0,35663.21666666667,38178.9,0.02345486388888889,0.0261389,4.080277777777777,5.348,0.01173781388888889,0.012371,29.504,29.504,1.1400688888888888,1.27183,32.453,32.453,1.1833827777777777,1.31909,32.501,32.501,0.0,0.0,0.0,0.0
thread_scale__io1__conn200__payload16,thread_scale,1,200,16,3,82777,0,13762.521281666666,13803.24902,14.487627000000002,14.783365333333334,15.515196666666668,18.536039666666667,39.08350033333333,67.444583,887.0375043333333,671.9981096666667,6.014667333333333,184.6153846153846,200.0,47.82051282051282,189.0,13351.689743589744,13506.1,0.013800933333333333,0.0141239,0.2665128205128205,0.403,0.0019020810256410255,0.00192171,0.2057948717948718,0.213,3.357582051282051,3.40588,9.580076923076923,10.279,3.377141282051282,3.42537,9.633692307692307,10.324,0.0,0.0,0.0,0.0
thread_scale__io2__conn200__payload16,thread_scale,2,200,16,3,155587,0,25891.300409,25945.808276,7.701951333333334,7.891815,9.610280333333334,10.535694333333334,12.703085999999999,67.061133,1668.7752216666668,1264.223653,6.009240000000001,183.78378378378378,200.0,55.5945945945946,133.0,25124.556756756756,25395.6,0.01191492162162162,0.0119484,0.42024324324324325,0.511,0.0017314440540540542,0.0017362,0.343,0.343,2.04719,2.06069,6.646945945945945,6.792,2.064601081081081,2.07811,6.692378378378378,6.843,0.0,0.0,0.0,0.0
thread_scale__io4__conn200__payload16,thread_scale,4,200,16,3,252496,0,42035.4779,42102.346905,4.742707666666667,4.663933666666667,5.212031666666667,6.627541333333333,7.461646333333333,60.911731,2709.3179116666665,2052.513569333333,6.0067346666666666,179.1081081081081,200.0,43.0,75.0,40715.156756756754,41200.7,0.012456118918918919,0.012505,1.249297297297297,1.332,0.0016335772972972972,0.00165488,0.753,0.753,1.0887499999999999,1.09557,3.370027027027027,3.593,1.1071735135135135,1.11395,3.3927567567567567,3.611,0.0,0.0,0.0,0.0
thread_scale__io8__conn200__payload16,thread_scale,8,200,16,3,299065,0,49795.06967766667,50619.085402,4.002175,3.8808306666666668,5.282039999999999,6.926187,8.715289333333333,66.683189,3209.4478503333335,2431.399886333333,6.005914999999999,183.33333333333334,200.0,40.52777777777778,80.0,49120.725000000006,49683.0,0.015295699999999999,0.0155818,1.3451666666666666,1.381,0.0014408577777777778,0.00145013,0.357,0.357,0.8354274444444445,0.845144,5.616777777777778,8.781,0.8572431388888888,0.867295,5.638805555555555,8.789,0.0,0.0,0.0,0.0
thread_scale__io16__conn200__payload16,thread_scale,16,200,16,3,290116,0,48297.38808533333,48493.541259,4.124724666666666,3.8319240000000003,6.648944333333334,9.660887333333333,12.582101333333334,56.649609,3112.9175913333333,2358.2709026666666,6.006867333333333,178.3783783783784,200.0,52.513513513513516,89.0,46703.72972972973,47281.4,0.016339197297297298,0.0165281,2.379,2.379,0.0014275964864864865,0.00143977,0.803,0.803,1.2260408108108107,1.23246,10.78654054054054,10.906,1.2490302702702702,1.25538,10.866567567567568,10.983,0.0,0.0,0.0,0.0
throughput__io8__conn50__payload16,throughput,8,50,16,3,308755,0,51446.080436,53020.557412,0.9683086666666667,0.8918033333333333,1.5882689999999997,2.2704026666666666,2.90955,5.470588,3315.8606529999997,2512.0156463333333,6.001532,43.421052631578945,50.0,12.31578947368421,26.0,48919.48684210526,50308.7,0.017030171052631576,0.0175522,2.927947368421053,4.109,0.0013777026315789475,0.00142282,0.972,0.972,0.28677305263157893,0.290616,5.892,5.892,0.3107173947368421,0.314854,6.027,6.027,0.0,0.0,0.0,0.0
